variable,full_name,label,value_type,description,categories,categories_label
ngst_sportUS1b,BiB_MeDALL.medall_ngst.ngst_sportUS1b,suitable for sport,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_streamNA2c,BiB_MeDALL.medall_ngst.ngst_streamNA2c,presence of stream,decimal,,1|2,Absent|Present
ngst_surfacqualNA6,BiB_MeDALL.medall_ngst.ngst_surfacqualNA6,maintenance of primary surface,decimal,,1|2|3,Poor|Adequate|Good
ngst_toiletAM4a,BiB_MeDALL.medall_ngst.ngst_toiletAM4a,presence of toilet,decimal,,1|2,Absent|Present
ngst_toiletqualAM4b,BiB_MeDALL.medall_ngst.ngst_toiletqualAM4b,quality of public toilet,decimal,,1|2|3,Poor|Adequate|Good
ngst_treesNA5a,BiB_MeDALL.medall_ngst.ngst_treesNA5a,presence of trees,decimal,,1|2,Absent|Present
ngst_treespercNA5b,BiB_MeDALL.medall_ngst.ngst_treespercNA5b,percentage of area occupied by trees,decimal,,1|2|3|4,1%-10%|11%-25%|26%-50%|50%+
ngst_typol,BiB_MeDALL.medall_ngst.ngst_typol,typology,decimal,,1|2|3,Park|Natural/ semi-natural|Amenity/ pulbic open space
ngst_vandsmIN6a,BiB_MeDALL.medall_ngst.ngst_vandsmIN6a,presence of vandalism,decimal,,1|2,Absent|Present
ngst_vandsmlevelIN6b,BiB_MeDALL.medall_ngst.ngst_vandsmlevelIN6b,level of vandalism,decimal,,1|2|3,Hardly noticeable|Noticeable|Very noticeable
ngst_viewpNA4,BiB_MeDALL.medall_ngst.ngst_viewpNA4,"presence of viewpoint, vista, scenic view",decimal,,,
ngst_visuaUS6a,BiB_MeDALL.medall_ngst.ngst_visuaUS6a,suitable for visual qualities dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
ngst_visuaUS6b,BiB_MeDALL.medall_ngst.ngst_visuaUS6b,suitable for enjoying landscape or visual qualities,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_walkiUS3a,BiB_MeDALL.medall_ngst.ngst_walkiUS3a,suitable for walking dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
ngst_walkiUS3b,BiB_MeDALL.medall_ngst.ngst_walkiUS3b,suitable for walking,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_waterNA3a,BiB_MeDALL.medall_ngst.ngst_waterNA3a,presence of water,decimal,,1|2,Absent|Present
ngst_waterNA3b,BiB_MeDALL.medall_ngst.ngst_waterNA3b,percentage of area occupied by water,decimal,,1|2|3,<25%|26%-50%|51%-75%
ngst_waterUS10a,BiB_MeDALL.medall_ngst.ngst_waterUS10a,suitable for water sports dichotomous,decimal,,1|2,Not useful|Somewhat to very useful
ngst_waterUS10b,BiB_MeDALL.medall_ngst.ngst_waterUS10b,suitable for water sports,decimal,,1|2|3|4,Not useful|Somewhat useful|Useful|Very useful
ngst_watshoreNA1,BiB_MeDALL.medall_ngst.ngst_watshoreNA1,"on the foreshore of a beach, river or lake",decimal,,1|2,No|Yes
ngst_weath,BiB_MeDALL.medall_ngst.ngst_weath,weather,text,,,
ngst_yearcode,BiB_MeDALL.medall_ngst.ngst_yearcode,summer park 1/2 or winter park 3/4,decimal,,1|2|3|4,summer park 1|summer park 2|winter park 1|winter park 2
