variable,full_name,label,value_type,description,categories,categories_label
pyckatraim1scrapNJ1,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim1scrapNJ1,"",decimal,,,
pyckatraim2baseRT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseRT2,"",decimal,,,
pyckatraim2baseMT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseMT2,"",decimal,,,
pyckatraim2baseDT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseDT2,"",decimal,,,
pyckatraim2basePS2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2basePS2,"",decimal,,,
pyckatraim2baseTPS2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseTPS2,"",decimal,,,
pyckatraim2basePL2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2basePL2,"",decimal,,,
pyckatraim2basePLT2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2basePLT2,"",decimal,,,
pyckatraim2baseNJ2,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim2baseNJ2,"",decimal,,,
pyckatraim3baseRT3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3baseRT3,"",decimal,,,
pyckatraim3baseMT3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3baseMT3,"",decimal,,,
pyckatraim3baseDT3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3baseDT3,"",decimal,,,
pyckatraim3basePS3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3basePS3,"",decimal,,,
pyckatraim3baseTPS3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3baseTPS3,"",decimal,,,
pyckatraim3basePL3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3basePL3,"",decimal,,,
pyckatraim3basePLT3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3basePLT3,"",decimal,,,
pyckatraim3baseNJ3,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim3baseNJ3,"",decimal,,,
pyckatraim4baseRT4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim4baseRT4,"",decimal,,,
pyckatraim4baseMT4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim4baseMT4,"",decimal,,,
pyckatraim4baseDT4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim4baseDT4,"",decimal,,,
pyckatraim4basePS4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim4basePS4,"",decimal,,,
pyckatraim4baseTPS4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim4baseTPS4,"",decimal,,,
pyckatraim4basePL4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim4basePL4,"",decimal,,,
pyckatraim4basePLT4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim4basePLT4,"",decimal,,,
pyckatraim4baseNJ4,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim4baseNJ4,"",decimal,,,
pyckatraim5baseRT5,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim5baseRT5,"",decimal,,,
pyckatraim5baseMT5,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim5baseMT5,"",decimal,,,
pyckatraim5baseDT5,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim5baseDT5,"",decimal,,,
pyckatraim5basePS5,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim5basePS5,"",decimal,,,
pyckatraim5baseTPS5,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim5baseTPS5,"",decimal,,,
pyckatraim5basePL5,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim5basePL5,"",decimal,,,
pyckatraim5basePLT5,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim5basePLT5,"",decimal,,,
pyckatraim5baseNJ5,BiB_PrimarySchoolYears.ckat_data_bib.pyckatraim5baseNJ5,"",decimal,,,
