variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_AgeOfWonder_Measurements.heightweight.school_id,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,school_id,Pseudo school ID,text,,administration,7759,7759
BiB_AgeOfWonder_Measurements.heightweight.year_group,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,year_group,Year group at recruitment,categorical,[-1 various - see module specific data] [7 Year 7] [8 Year 8] [9 Year 9] [10 Year 10] [11 Year 11] [12 Year 12] [13 Year 13],education,7759,7759
BiB_AgeOfWonder_Measurements.heightweight.form_tutor_id,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,form_tutor_id,Pseudo recruitment form tutor ID,text,,administration,7759,7759
BiB_AgeOfWonder_Measurements.heightweight.gender,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,gender,Gender reported by school,categorical,[1 Female] [2 Male],gender,7759,7759
BiB_AgeOfWonder_Measurements.heightweight.ethnicity_1,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,ethnicity_1,Ethnicity reported by school - higher level category,categorical,"[1 Asian or Asian British] [2 Black, Black British, Caribbean or African] [3 Mixed or multiple ethnic groups] [4 White] [5 Other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,7758,7758
BiB_AgeOfWonder_Measurements.heightweight.ethnicity_2,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,ethnicity_2,Ethnicity reported by school - lower level category,categorical,"[11 Indian] [12 Pakistani] [13 Bangladeshi] [14 Chinese] [15 Any other Asian background] [21 Caribbean] [22 African] [23 Any other Black, Black British, or Caribbean background] [31 White and Black Caribbean] [32 White and Black African] [33 White and Asian] [34 Any other Mixed or multiple ethnic background] [41 English, Welsh, Scottish, Northern Irish or British] [42 Irish] [43 Gypsy or Irish Traveller] [44 Roma] [45 Any other White background] [51 Arab] [52 Any other ethnic group] [97 Data provided but ethnicity not stated] [98 Data provided but unmapped] [99 Data not provided]",ethnic_group,7750,7750
BiB_AgeOfWonder_Measurements.heightweight.date_measurement,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,date_measurement,Date of measurement,date,,,7759,7759
BiB_AgeOfWonder_Measurements.heightweight.age_m,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,age_m,Age in months at measurement,integer,,,7759,7759
BiB_AgeOfWonder_Measurements.heightweight.age_y,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,age_y,Age in years at measurement,integer,,,7759,7759
BiB_AgeOfWonder_Measurements.heightweight.height,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,height,Height (cm),float,,anthropometry,7705,7705
BiB_AgeOfWonder_Measurements.heightweight.weight,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,weight,Weight (kg),float,,anthropometry,7521,7521
BiB_AgeOfWonder_Measurements.heightweight.bmi,BiB_AgeOfWonder_Measurements.heightweight,BiB_AgeOfWonder_Measurements,heightweight,bmi,BMI (kg/m2),float,,anthropometry,7467,7467
BiB_AgeOfWonder_Measurements.bloodpressure.aow_recruitment_id,BiB_AgeOfWonder_Measurements.bloodpressure,BiB_AgeOfWonder_Measurements,bloodpressure,aow_recruitment_id,Age of Wonder recruitment ID,text,,administration,7383,7383
BiB_AgeOfWonder_Measurements.bloodpressure.aow_person_id,BiB_AgeOfWonder_Measurements.bloodpressure,BiB_AgeOfWonder_Measurements,bloodpressure,aow_person_id,Age of Wonder person ID,text,,administration,7383,7383
BiB_AgeOfWonder_Measurements.bloodpressure.BiBPersonID,BiB_AgeOfWonder_Measurements.bloodpressure,BiB_AgeOfWonder_Measurements,bloodpressure,BiBPersonID,BiB cohort person ID,text,,administration,7383,7383
