project,table,variable,full_name,label,value_type,description,categories,categories_label
BiB_StartingSchool,stschool_ckat,ssckatraim05baseMT5,BiB_StartingSchool.stschool_ckat.ssckatraim05baseMT5,Aiming Baseline (Aim Number: 4 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim05baseNJ5,BiB_StartingSchool.stschool_ckat.ssckatraim05baseNJ5,Aiming Baseline (Aim Number: 4 of 50) Normalised Jerk,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim05basePL5,BiB_StartingSchool.stschool_ckat.ssckatraim05basePL5,Aiming Baseline (Aim Number: 4 of 50) Path Length,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim05basePLT5,BiB_StartingSchool.stschool_ckat.ssckatraim05basePLT5,Aiming Baseline (Aim Number: 4 of 50) Path Length Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim05basePS5,BiB_StartingSchool.stschool_ckat.ssckatraim05basePS5,Aiming Baseline (Aim Number: 4 of 50) Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim05baseRT5,BiB_StartingSchool.stschool_ckat.ssckatraim05baseRT5,Aiming Baseline (Aim Number: 4 of 50) Reaction Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim05baseTPS5,BiB_StartingSchool.stschool_ckat.ssckatraim05baseTPS5,Aiming Baseline (Aim Number: 4 of 50) Time to Peak Speed,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim06baseDT6,BiB_StartingSchool.stschool_ckat.ssckatraim06baseDT6,Aiming Baseline (Aim Number: 5 of 50) Deceleration Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim06baseMT6,BiB_StartingSchool.stschool_ckat.ssckatraim06baseMT6,Aiming Baseline (Aim Number: 5 of 50) Movement Time,decimal,,,
BiB_StartingSchool,stschool_ckat,ssckatraim06baseNJ6,BiB_StartingSchool.stschool_ckat.ssckatraim06baseNJ6,Aiming Baseline (Aim Number: 5 of 50) Normalised Jerk,decimal,,,
