variable,full_name,label,value_type,description,categories,categories_label
M_HDL_CE,BiB_Metabolomics.metnmr_infant12_d.M_HDL_CE,Cholesteryl esters in medium HDL [mmol/l],decimal,,,
M_HDL_FC,BiB_Metabolomics.metnmr_infant12_d.M_HDL_FC,Free cholesterol in medium HDL [mmol/l],decimal,,,
M_HDL_TG,BiB_Metabolomics.metnmr_infant12_d.M_HDL_TG,Triglycerides in medium HDL [mmol/l],decimal,,,
S_HDL_P,BiB_Metabolomics.metnmr_infant12_d.S_HDL_P,Concentration of small HDL particles [mol/l],decimal,,,
S_HDL_L,BiB_Metabolomics.metnmr_infant12_d.S_HDL_L,Total lipids in small HDL [mmol/l],decimal,,,
S_HDL_PL,BiB_Metabolomics.metnmr_infant12_d.S_HDL_PL,Phospholipids in small HDL [mmol/l],decimal,,,
S_HDL_C,BiB_Metabolomics.metnmr_infant12_d.S_HDL_C,Cholesterol in small HDL [mmol/l],decimal,,,
S_HDL_CE,BiB_Metabolomics.metnmr_infant12_d.S_HDL_CE,Cholesteryl esters in small HDL [mmol/l],decimal,,,
S_HDL_FC,BiB_Metabolomics.metnmr_infant12_d.S_HDL_FC,Free cholesterol in small HDL [mmol/l],decimal,,,
S_HDL_TG,BiB_Metabolomics.metnmr_infant12_d.S_HDL_TG,Triglycerides in small HDL [mmol/l],decimal,,,
VLDL_size,BiB_Metabolomics.metnmr_infant12_d.VLDL_size,Average diameter for VLDL particles [nm],decimal,,,
LDL_size,BiB_Metabolomics.metnmr_infant12_d.LDL_size,Average diameter for LDL particles [nm],decimal,,,
HDL_size,BiB_Metabolomics.metnmr_infant12_d.HDL_size,Average diameter for HDL particles [nm],decimal,,,
XXL_VLDL_PL_pct,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_PL_pct,Phospholipids to total lipids ratio in chylomicrons and extremely large VLDL [%],decimal,,,
XXL_VLDL_C_pct,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_C_pct,Cholesterol to total lipids ratio in chylomicrons and extremely large VLDL [%],decimal,,,
XXL_VLDL_CE_pct,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_CE_pct,Chol esters to total lipids ratio in chylomicrons and extremely large VLDL [%],decimal,,,
XXL_VLDL_FC_pct,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_FC_pct,Free chol to total lipids ratio in chylomicrons and extremely large VLDL [%],decimal,,,
XXL_VLDL_TG_pct,BiB_Metabolomics.metnmr_infant12_d.XXL_VLDL_TG_pct,Triglycerides to total lipids ratio in chylomicrons and extremely large VLDL [%],decimal,,,
XL_VLDL_PL_pct,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_PL_pct,Phospholipids to total lipids ratio in very large VLDL [%],decimal,,,
XL_VLDL_C_pct,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_C_pct,Cholesterol to total lipids ratio in very large VLDL [%],decimal,,,
XL_VLDL_CE_pct,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in very large VLDL [%],decimal,,,
XL_VLDL_FC_pct,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_FC_pct,Free cholesterol to total lipids ratio in very large VLDL [%],decimal,,,
XL_VLDL_TG_pct,BiB_Metabolomics.metnmr_infant12_d.XL_VLDL_TG_pct,Triglycerides to total lipids ratio in very large VLDL [%],decimal,,,
L_VLDL_PL_pct,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_PL_pct,Phospholipids to total lipids ratio in large VLDL [%],decimal,,,
L_VLDL_C_pct,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_C_pct,Cholesterol to total lipids ratio in large VLDL [%],decimal,,,
L_VLDL_CE_pct,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in large VLDL [%],decimal,,,
L_VLDL_FC_pct,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_FC_pct,Free cholesterol to total lipids ratio in large VLDL [%],decimal,,,
L_VLDL_TG_pct,BiB_Metabolomics.metnmr_infant12_d.L_VLDL_TG_pct,Triglycerides to total lipids ratio in large VLDL [%],decimal,,,
M_VLDL_PL_pct,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_PL_pct,Phospholipids to total lipids ratio in medium VLDL [%],decimal,,,
M_VLDL_C_pct,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_C_pct,Cholesterol to total lipids ratio in medium VLDL [%],decimal,,,
M_VLDL_CE_pct,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_CE_pct,Cholesteryl esters to total lipids ratio in medium VLDL [%],decimal,,,
M_VLDL_FC_pct,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_FC_pct,Free cholesterol to total lipids ratio in medium VLDL [%],decimal,,,
M_VLDL_TG_pct,BiB_Metabolomics.metnmr_infant12_d.M_VLDL_TG_pct,Triglycerides to total lipids ratio in medium VLDL [%],decimal,,,
