variable,full_name,label,value_type,description,categories,categories_label
metmsr34428,BiB_Metabolomics.metms_pairc_r.metmsr34428,1-palmitoyl-GPA (16:0) [raw],decimal,,,
metmsr33955,BiB_Metabolomics.metms_pairc_r.metmsr33955,1-palmitoyl-GPC (16:0) [raw],decimal,,,
metmsr35631,BiB_Metabolomics.metms_pairc_r.metmsr35631,1-palmitoyl-GPE (16:0) [raw],decimal,,,
metmsr45970,BiB_Metabolomics.metms_pairc_r.metmsr45970,1-palmitoyl-GPG (16:0)* [raw],decimal,,,
metmsr35305,BiB_Metabolomics.metms_pairc_r.metmsr35305,1-palmitoyl-GPI (16:0) [raw],decimal,,,
metmsr61868,BiB_Metabolomics.metms_pairc_r.metmsr61868,1-ribosyl-imidazoleacetate* [raw],decimal,,,
metmsr42450,BiB_Metabolomics.metms_pairc_r.metmsr42450,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4) [raw],decimal,,,
metmsr52447,BiB_Metabolomics.metms_pairc_r.metmsr52447,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4) [raw],decimal,,,
metmsr52449,BiB_Metabolomics.metms_pairc_r.metmsr52449,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4) [raw],decimal,,,
metmsr52235,BiB_Metabolomics.metms_pairc_r.metmsr52235,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4) [raw],decimal,,,
metmsr52611,BiB_Metabolomics.metms_pairc_r.metmsr52611,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6) [raw],decimal,,,
metmsr52466,BiB_Metabolomics.metms_pairc_r.metmsr52466,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)* [raw],decimal,,,
metmsr52452,BiB_Metabolomics.metms_pairc_r.metmsr52452,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)* [raw],decimal,,,
metmsr52446,BiB_Metabolomics.metms_pairc_r.metmsr52446,1-stearoyl-2-linoleoyl-GPE (18:0/18:2)* [raw],decimal,,,
metmsr52468,BiB_Metabolomics.metms_pairc_r.metmsr52468,1-stearoyl-2-linoleoyl-GPI (18:0/18:2) [raw],decimal,,,
metmsr52438,BiB_Metabolomics.metms_pairc_r.metmsr52438,1-stearoyl-2-oleoyl-GPC (18:0/18:1) [raw],decimal,,,
metmsr42448,BiB_Metabolomics.metms_pairc_r.metmsr42448,1-stearoyl-2-oleoyl-GPE (18:0/18:1) [raw],decimal,,,
metmsr52623,BiB_Metabolomics.metms_pairc_r.metmsr52623,1-stearoyl-2-oleoyl-GPG (18:0/18:1) [raw],decimal,,,
metmsr52726,BiB_Metabolomics.metms_pairc_r.metmsr52726,1-stearoyl-2-oleoyl-GPI (18:0/18:1)* [raw],decimal,,,
metmsr19265,BiB_Metabolomics.metms_pairc_r.metmsr19265,1-stearoyl-2-oleoyl-GPS (18:0/18:1) [raw],decimal,,,
metmsr33961,BiB_Metabolomics.metms_pairc_r.metmsr33961,1-stearoyl-GPC (18:0) [raw],decimal,,,
metmsr42398,BiB_Metabolomics.metms_pairc_r.metmsr42398,1-stearoyl-GPE (18:0) [raw],decimal,,,
metmsr34437,BiB_Metabolomics.metms_pairc_r.metmsr34437,1-stearoyl-GPG (18:0) [raw],decimal,,,
metmsr19324,BiB_Metabolomics.metms_pairc_r.metmsr19324,1-stearoyl-GPI (18:0) [raw],decimal,,,
metmsr33971,BiB_Metabolomics.metms_pairc_r.metmsr33971,10-heptadecenoate (17:1n7) [raw],decimal,,,
metmsr33972,BiB_Metabolomics.metms_pairc_r.metmsr33972,10-nonadecenoate (19:1n9) [raw],decimal,,,
metmsr32497,BiB_Metabolomics.metms_pairc_r.metmsr32497,10-undecenoate (11:1n1) [raw],decimal,,,
metmsr38395,BiB_Metabolomics.metms_pairc_r.metmsr38395,"12,13-DiHOME [raw]",decimal,,,
metmsr37752,BiB_Metabolomics.metms_pairc_r.metmsr37752,13-HODE + 9-HODE [raw],decimal,,,
metmsr38768,BiB_Metabolomics.metms_pairc_r.metmsr38768,15-methylpalmitate (i17:0) [raw],decimal,,,
metmsr39609,BiB_Metabolomics.metms_pairc_r.metmsr39609,16-hydroxypalmitate [raw],decimal,,,
metmsr38168,BiB_Metabolomics.metms_pairc_r.metmsr38168,16a-hydroxy DHEA 3-sulfate [raw],decimal,,,
metmsr38296,BiB_Metabolomics.metms_pairc_r.metmsr38296,17-methylstearate (i19:0) [raw],decimal,,,
metmsr47403,BiB_Metabolomics.metms_pairc_r.metmsr47403,17alpha-hydroxypregnanolone glucuronide [raw],decimal,,,
metmsr37482,BiB_Metabolomics.metms_pairc_r.metmsr37482,17alpha-hydroxypregnenolone 3-sulfate [raw],decimal,,,
metmsr5969,BiB_Metabolomics.metms_pairc_r.metmsr5969,17alpha-hydroxyprogesterone [raw],decimal,,,
metmsr17788,BiB_Metabolomics.metms_pairc_r.metmsr17788,17beta-estradiol [raw],decimal,,,
metmsr27561,BiB_Metabolomics.metms_pairc_r.metmsr27561,17beta-estradiol 3-sulfate [raw],decimal,,,
metmsr57783,BiB_Metabolomics.metms_pairc_r.metmsr57783,1H-indole-7-acetic acid [raw],decimal,,,
metmsr15076,BiB_Metabolomics.metms_pairc_r.metmsr15076,2'-deoxyinosine [raw],decimal,,,
metmsr52602,BiB_Metabolomics.metms_pairc_r.metmsr52602,2'-deoxyuridine [raw],decimal,,,
metmsr57554,BiB_Metabolomics.metms_pairc_r.metmsr57554,2'-O-methylcytidine [raw],decimal,,,
metmsr57655,BiB_Metabolomics.metms_pairc_r.metmsr57655,2'-O-methyluridine [raw],decimal,,,
metmsr57547,BiB_Metabolomics.metms_pairc_r.metmsr57547,"2,3-dihydroxy-2-methylbutyrate [raw]",decimal,,,
metmsr38276,BiB_Metabolomics.metms_pairc_r.metmsr38276,"2,3-dihydroxyisovalerate [raw]",decimal,,,
metmsr15664,BiB_Metabolomics.metms_pairc_r.metmsr15664,"2,3-diphosphoglycerate [raw]",decimal,,,
metmsr62533,BiB_Metabolomics.metms_pairc_r.metmsr62533,"2,5-dimethylphenol sulfate [raw]",decimal,,,
metmsr48580,BiB_Metabolomics.metms_pairc_r.metmsr48580,2-acetamidophenol sulfate [raw],decimal,,,
metmsr6146,BiB_Metabolomics.metms_pairc_r.metmsr6146,2-aminoadipate [raw],decimal,,,
metmsr42374,BiB_Metabolomics.metms_pairc_r.metmsr42374,2-aminobutyrate [raw],decimal,,,
metmsr43761,BiB_Metabolomics.metms_pairc_r.metmsr43761,2-aminoheptanoate [raw],decimal,,,
metmsr43343,BiB_Metabolomics.metms_pairc_r.metmsr43343,2-aminooctanoate [raw],decimal,,,
metmsr43266,BiB_Metabolomics.metms_pairc_r.metmsr43266,2-aminophenol sulfate [raw],decimal,,,
metmsr36847,BiB_Metabolomics.metms_pairc_r.metmsr36847,2-ethylphenylsulfate [raw],decimal,,,
metmsr48261,BiB_Metabolomics.metms_pairc_r.metmsr48261,2-fucosyllactose [raw],decimal,,,
metmsr36746,BiB_Metabolomics.metms_pairc_r.metmsr36746,2-hydroxy-3-methylvalerate [raw],decimal,,,
metmsr33173,BiB_Metabolomics.metms_pairc_r.metmsr33173,2-hydroxyacetaminophen sulfate* [raw],decimal,,,
metmsr31934,BiB_Metabolomics.metms_pairc_r.metmsr31934,2-hydroxyadipate [raw],decimal,,,
metmsr61700,BiB_Metabolomics.metms_pairc_r.metmsr61700,2-hydroxyarachidate* [raw],decimal,,,
metmsr57663,BiB_Metabolomics.metms_pairc_r.metmsr57663,2-hydroxybehenate [raw],decimal,,,
metmsr52281,BiB_Metabolomics.metms_pairc_r.metmsr52281,2-hydroxybutyrate/2-hydroxyisobutyrate [raw],decimal,,,
