variable,full_name,label,value_type,description,categories,categories_label
guchdPhysicalActOth1_1,BiB_GrowingUp.child_survey_child_comp.guchdPhysicalActOth1_1,Other(1),text,,,
guchdPhycialactive2_27,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive2_27,Other (2),decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhysicalActOth1_2,BiB_GrowingUp.child_survey_child_comp.guchdPhysicalActOth1_2,Other(2),text,,,
guchdPhycialactive_SQ010,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive_SQ010,Rounders / baseball,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive_SQ003,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive_SQ003,Roller skating/ bladeing,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdPhycialactive_SQ004,BiB_GrowingUp.child_survey_child_comp.guchdPhycialactive_SQ004,Tig,decimal,,1|2|3|4|5,No|1-2|3-4|5-6|7 or more
guchdActBeforeSch,BiB_GrowingUp.child_survey_child_comp.guchdActBeforeSch,"In the last 7 days, on how many days before school, did you do sports, dance, or",decimal,,1|2|3|4|5,None|1 time last week|2 or 3 times last week|4 times last week|5 times last week
guchdMrnActiveTravel,BiB_GrowingUp.child_survey_child_comp.guchdMrnActiveTravel,"In the last 7 days, on how many mornings did you actively travel (for example, w",decimal,,1|2|3|4|5,None|1 time last week|2 or 3 times last week|4 times last week|5 times last week
guchdPEActive2,BiB_GrowingUp.child_survey_child_comp.guchdPEActive2,"In the last 7 days, during your physical education (PE) classes, how often were ",decimal,,1|2|3|4|5,Hardly ever|Sometimes|Quite often|Always|I donâ€™t do PE
guchd7DayBreak2,BiB_GrowingUp.child_survey_child_comp.guchd7DayBreak2,"In the last 7 days, what did you do most of the timeat break time ? (Tick one on",decimal,,1|2|3|4|5,"Sat down (talking, reading, doing schoolwork)|Stood around or walked around|Ran or played a little bit|Ran around and played quite a bit|Ran and played hard most of the time"
guchd7Lunch2,BiB_GrowingUp.child_survey_child_comp.guchd7Lunch2,"In the last 7 days, what did you normally doat lunch(besides eating)? (Tick one ",decimal,,1|2|3|4|5,"Sat down (talking, reading, doing schoolwork)|Stood around or walked around|Ran or played a little bit|Ran around and played quite a bit|Ran and played hard most of the time"
guchdAftActiveTravel,BiB_GrowingUp.child_survey_child_comp.guchdAftActiveTravel,"In the last 7 days, on how many afternoons did you actively travel (for example,",decimal,,1|2|3|4|5,None|1 time last week|2 or 3 times last week|4 times last week|5 times last week
guchd7RightAftSchl2,BiB_GrowingUp.child_survey_child_comp.guchd7RightAftSchl2,"In the last 7 days, on how many daysright after school , did you do sports, danc",decimal,,1|2|3|4|5,None |1 time last week |2 or 3 times last week |4 times last week |5 times last week
guchd7DayEven2,BiB_GrowingUp.child_survey_child_comp.guchd7DayEven2,"In the last 7 days, on how manyeveningsdid you do sports, dance, or play games i",decimal,,1|2|3|4|5,None |1 time last week |2 or 3 times last week |4 times last week |5 times last week
guchdHowMnySprts2,BiB_GrowingUp.child_survey_child_comp.guchdHowMnySprts2,"On the last weekend , how many times did you do sports, dance, or play games in ",decimal,,1|2|3|4|5,None |1 time |2 - 3 times |4 - 5 times |6 times or more
guchdDescribeBest,BiB_GrowingUp.child_survey_child_comp.guchdDescribeBest,Whichoneof the following describes you best for the last 7 days? Listen toall fi,decimal,,1|2|3|4|5,"All or most of my free time was spent doing things that involve little physical effort |I sometimes (1 - 2 times last week) did physical things in my free time (e.g. played sports, went running, swimming, bike riding, did aerobics) |I often (3 â€” 4 times last week) did physical things in my free time |I quite often (5 - 6 times last week) did physical things in my free time |I very often (7 or more times last week) did physical things in my free time "
guchdHowoftenSport_1,BiB_GrowingUp.child_survey_child_comp.guchdHowoftenSport_1,Monday,decimal,,1|2|3|4|5,None|Little bit|Medium|Often|Very often
guchdHowoftenSport_2,BiB_GrowingUp.child_survey_child_comp.guchdHowoftenSport_2,Wednesday,decimal,,1|2|3|4|5,None|Little bit|Medium|Often|Very often
guchdHowoftenSport_3,BiB_GrowingUp.child_survey_child_comp.guchdHowoftenSport_3,Thursday,decimal,,1|2|3|4|5,None|Little bit|Medium|Often|Very often
guchdHowoftenSport_4,BiB_GrowingUp.child_survey_child_comp.guchdHowoftenSport_4,Friday,decimal,,1|2|3|4|5,None|Little bit|Medium|Often|Very often
guchdHowoftenSport_5,BiB_GrowingUp.child_survey_child_comp.guchdHowoftenSport_5,Saturday,decimal,,1|2|3|4|5,None|Little bit|Medium|Often|Very often
guchdHowoftenSport_6,BiB_GrowingUp.child_survey_child_comp.guchdHowoftenSport_6,Sunday,decimal,,1|2|3|4|5,None|Little bit|Medium|Often|Very often
guchdHowoftenSport_7,BiB_GrowingUp.child_survey_child_comp.guchdHowoftenSport_7,Tuesday,decimal,,1|2|3|4|5,None|Little bit|Medium|Often|Very often
guchdSickStopPA,BiB_GrowingUp.child_survey_child_comp.guchdSickStopPA,"Were you sick last week, or did anything stop you from doing your normal physica",decimal,,1|2,No|Yes
guchdStopped,BiB_GrowingUp.child_survey_child_comp.guchdStopped,"If yes, what stopped you?",text,,,
guchdHowOftFriends_SQ001,BiB_GrowingUp.child_survey_child_comp.guchdHowOftFriends_SQ001,Encouraged you to do physical activities or sports?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdHowOftFriends_SQ002,BiB_GrowingUp.child_survey_child_comp.guchdHowOftFriends_SQ002,Done physical activities or sports with you?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdHowOftFriends_SQ003,BiB_GrowingUp.child_survey_child_comp.guchdHowOftFriends_SQ003,Told you that you are doing well at physical activities or sports?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdFamilysports_1,BiB_GrowingUp.child_survey_child_comp.guchdFamilysports_1,Done a physical activity or sport with you?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdFamilysports_2,BiB_GrowingUp.child_survey_child_comp.guchdFamilysports_2,Provided transport to a place where you can do physical activities or sports?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdFamilysports_3,BiB_GrowingUp.child_survey_child_comp.guchdFamilysports_3,Watched you do physical activities or sports?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdFamilysports_4,BiB_GrowingUp.child_survey_child_comp.guchdFamilysports_4,Told you that you are doing well in physical activities or sports?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdTeachersports_1,BiB_GrowingUp.child_survey_child_comp.guchdTeachersports_1,Done a physical activity or played sports with you?,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
guchdTeachersports_2,BiB_GrowingUp.child_survey_child_comp.guchdTeachersports_2,Provided transport to a place where you can do physical activities or play sport,decimal,,1|2|3|4|5,Never|Once|Sometimes|Almost everyday|Everyday
